molecule_id,smiles,pdb_id,status,error,best_affinity_kcal,affinity_pose2_kcal,affinity_pose3_kcal,affinity_pose4_kcal,affinity_pose5_kcal,all_scores,n_poses,pocket_ligand,pocket_center,box_size,all_poses_file,best_pose_file,complex_pdb,gene,pIC50,qed,mw,logp,composite_score,pred_active_prob
CHEMBL54400,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5UG9,success,,-8.294,-7.689,-7.651,-7.205,-7.035,"[-8.294, -7.689, -7.651, -7.205, -7.035, -6.991, -6.932, -6.824, -6.804]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL54400/CHEMBL54400_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL54400/CHEMBL54400_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL54400/CHEMBL54400_complex.pdb,EGFR,9.886056647693163,0.7686164717854101,329.02760748400004,3.5726000000000013,0.6391211491071279,0.9958205912334352
CHEMBL166154,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,5UG9,success,,-8.458,-7.891,-7.881,-7.767,-7.619,"[-8.458, -7.891, -7.881, -7.767, -7.619, -7.365, -7.06, -6.962, -6.851]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL166154/CHEMBL166154_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL166154/CHEMBL166154_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL166154/CHEMBL166154_complex.pdb,EGFR,9.721246399047171,0.7714383625489651,285.078123064,3.4635000000000007,0.6053077405992257,0.9587602032224091
CHEMBL5790648,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,5UG9,success,,-8.931,-8.892,-8.722,-8.465,-8.082,"[-8.931, -8.892, -8.722, -8.465, -8.082, -7.72, -7.649, -7.639, -6.852]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5790648/CHEMBL5790648_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5790648/CHEMBL5790648_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5790648/CHEMBL5790648_complex.pdb,EGFR,10.795880017344075,0.6562395765631853,443.116045368,3.8153000000000032,0.6007293636024061,0.9877975848650515
CHEMBL188762,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5UG9,success,,-9.412,-9.213,-8.678,-8.011,-7.968,"[-9.412, -9.213, -8.678, -8.011, -7.968, -7.173, -7.112, -6.816, -6.805]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL188762/CHEMBL188762_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL188762/CHEMBL188762_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL188762/CHEMBL188762_complex.pdb,EGFR,10.0,0.7095444826836672,370.0429232,4.484400000000003,0.5837886510947522,0.9719653172734624
CHEMBL161956,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5UG9,success,,-9.123,-7.868,-7.734,-7.342,-7.113,"[-9.123, -7.868, -7.734, -7.342, -7.113, -6.74, -6.705, -6.695, -6.567]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL161956/CHEMBL161956_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL161956/CHEMBL161956_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL161956/CHEMBL161956_complex.pdb,EGFR,9.657577319177793,0.7154897998540194,373.0538222320001,2.9594000000000005,0.5766516504884376,0.9925769187846192
CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,5UG9,success,,-8.494,-8.479,-8.465,-8.355,-7.677,"[-8.494, -8.479, -8.465, -8.355, -7.677, -7.642, -7.459, -7.439, -7.344]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL162821/CHEMBL162821_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL162821/CHEMBL162821_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL162821/CHEMBL162821_complex.pdb,EGFR,9.346787486224656,0.761492325423499,265.13274548,3.118520000000001,0.5675549593181025,0.954737028070534
CHEMBL5746224,CN1CCC2(CC1)CN(c1ccc3ncnc(Nc4cccc(Cl)c4F)c3c1)C(=O)O2,5UG9,success,,-9.591,-9.427,-9.018,-8.792,-8.521,"[-9.591, -9.427, -9.018, -8.792, -8.521, -8.297, -8.135, -7.855, -7.786]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5746224/CHEMBL5746224_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5746224/CHEMBL5746224_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5746224/CHEMBL5746224_complex.pdb,EGFR,10.769551078621726,0.640810719305486,441.1367808119999,4.586900000000004,0.5657308000705074,0.9553820445096608
CHEMBL5968640,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,5UG9,success,,-9.274,-8.896,-8.156,-8.03,-7.855,"[-9.274, -8.896, -8.156, -8.03, -7.855, -7.729, -7.435, -7.099, -6.569]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5968640/CHEMBL5968640_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5968640/CHEMBL5968640_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5968640/CHEMBL5968640_complex.pdb,EGFR,10.657577319177793,0.6144559265502137,457.13169543199996,4.205400000000003,0.5540176844923824,0.9877957197118146
CHEMBL5993268,COC[C@@H]1CN(c2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)O1,5UG9,success,,-9.735,-9.157,-8.987,-8.549,-8.195,"[-9.735, -9.157, -8.987, -8.549, -8.195, -8.087, -7.891, -7.574, -6.787]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5993268/CHEMBL5993268_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5993268/CHEMBL5993268_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL5993268/CHEMBL5993268_complex.pdb,EGFR,10.42021640338319,0.6258617922008256,432.100060956,4.146100000000003,0.5502962334949704,0.9892084522607856
CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,5UG9,success,,-8.782,-8.408,-7.906,-7.367,-7.18,"[-8.782, -8.408, -7.906, -7.367, -7.18, -7.171, -7.009, -6.671, -6.504]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL66031/CHEMBL66031_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL66031/CHEMBL66031_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL66031/CHEMBL66031_complex.pdb,EGFR,11.096910013008056,0.5785608229687813,339.01195742000004,4.012200000000001,0.5493633621846167,0.9921334141299925
